"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Amount","FlagCodes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",5126.653,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2020",5692.402,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2021",6225.535,"E"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2022",6372.027,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5625.442,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5863.664,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2021",6690.093,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2022",7275.354,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5423.676,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2020",5509.054,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2021",6022.253,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2022",6599.981,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2019",5222.644,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2020",5879.075,"D"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2021",6277.503,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2022",6319.038,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3272.224,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2020",3804.101,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2021",4302.98,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2022",4512.162,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5359.776,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2020",5697.193,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2021",6372.074,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2022",6279.807,"P"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4383.634,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2020",4614.556,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2021",5251.501,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2022",5598.892,"E"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5163.421,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2020",5453.182,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2021",6105.608,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2022",6629.556,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6418.323,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2020",6945.909,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2021",7518.153,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2022",8010.935,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2019",2349.574,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2020",2486.091,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2021",2736.445,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2022",3015.251,"E"
"HUN","HEALTHEXP","TOT","USD_CAP","A","2019",2095.186,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2020",2421.807,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2021",2748.683,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2022",2840.101,"P"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2019",4318.27,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2020",4632.283,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2021",5106.541,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2022",5314.11,"P"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2019",4976.129,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2020",5378.183,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2021",5860.738,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2022",6046.548,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2019",3565.324,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2020",3753.088,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2021",4042.558,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2022",4290.689,"P"
